OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,comm,ind,BUFF_DIST,ORIG_FID,OBJECTID_1,AUN,SCHOOL_NUM,LOCATION_I,SCHOOL_NAM,SCHOOL_N_1,STREET_ADD,ZIP_CODE,PHONE_NUMB,ACTIVE,GRADE_LEVE,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECI,Shape_Length,Shape_Area
25,0,25,33,39.956049999999998,-75.146039999999999,0,0,200.000000000000000,24,25,,,,,,,,,,,,,,,0.013065049834748,0.000013236222497
26,2,26,34,39.939180000000000,-75.149730000000005,0,0,200.000000000000000,25,26,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,725 S 5TH ST,19147,215-400-7990, ,ELEMENTARYMIDDLE,K-8,573,1,District,0.013063149718547,0.000013233010964
27,0,27,35,39.965660000000000,-75.132270000000005,0,0,200.000000000000000,26,27,,,,,,,,,,,,,,,0.013066133438103,0.000013238054377
28,0,28,36,39.903449999999999,-75.243160000000003,1,0,200.000000000000000,27,28,,,,,,,,,,,,,,,0.013059130147451,0.000013226216035
29,1,29,37,39.967030000000001,-75.160399999999996,1,0,200.000000000000000,28,29,126510004,7685,3335,PEOPLE FOR PEOPLE,People for People Charter School,800 N BROAD ST,19130,215-763-7060, ,Elem/Mid/High,K-12, ,2,Charter,0.013066288175356,0.000013238316080
30,0,30,39,39.953159999999997,-75.194789999999998,0,0,200.000000000000000,29,30,,,,,,,,,,,,,,,0.013064724194523,0.000013235672152
31,0,31,40,40.033000000000001,-75.080190000000002,0,0,200.000000000000000,30,31,,,,,,,,,,,,,,,0.013073740094771,0.000013250909657
32,1,32,41,39.950940000000003,-75.152000000000001,1,0,200.000000000000000,31,32,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,Constitution High School,18 S 7TH ST,19106,215-400-7850, ,HIGH,9-12,385,1,District,0.013064474096126,0.000013235249830
33,1,33,43,39.985790000000001,-75.111559999999997,0,0,200.000000000000000,32,33,126519392,8257,3423,MEMPHIS ST. CHARTER @ JP JONES,Memphis Street Academy Charter School at J.P. Jones,2950 MEMPHIS ST,19134,215-291-4709, ,Middle School,5-8, ,2,Charter,0.013068404231510,0.000013241892362
34,0,34,44,39.942010000000003,-75.152339999999995,0,0,200.000000000000000,33,34,,,,,,,,,,,,,,,0.013063468053302,0.000013233549028
35,0,35,45,39.955640000000002,-75.202269999999999,1,0,200.000000000000000,34,35,,,,,,,,,,,,,,,0.013065003629771,0.000013236144519
36,0,36,46,39.937849999999997,-75.174970000000002,0,1,200.000000000000000,35,36,,,,,,,,,,,,,,,0.013062999831535,0.000013232757412
37,0,37,47,39.958089999999999,-75.209410000000005,1,0,200.000000000000000,36,37,,,,,,,,,,,,,,,0.013065279664895,0.000013236611124
38,0,38,48,39.932209999999998,-75.191509999999994,1,0,200.000000000000000,37,38,,,,,,,,,,,,,,,0.013062364706654,0.000013231684113
39,0,39,49,39.913969999999999,-75.221509999999995,0,1,200.000000000000000,38,39,,,,,,,,,,,,,,,0.013060312969451,0.000013228215787
40,0,40,50,39.989800000000002,-75.250820000000004,0,0,200.000000000000000,39,40,,,,,,,,,,,,,,,0.013068856923264,0.000013242657168
41,1,41,52,39.982120000000002,-75.148430000000005,0,1,200.000000000000000,40,41,126515001, ,5620,THE U SCHOOL,The U School,2000 N 7TH ST,19122,215-400-7460, ,HIGH,9-12,255,1,District,0.013067990154016,0.000013241192345
42,1,42,54,39.970390000000002,-75.146540000000002,0,0,200.000000000000000,41,42,226519142, , ,St Peter the Apostle School,St Peter the Apostle Sch,1009 N 5th St,19123,(215) 922-5958,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.013066667108776,0.000013238956451
43,0,43,56,39.945270000000001,-75.178579999999997,0,0,200.000000000000000,42,43,,,,,,,,,,,,,,,0.013063834856200,0.000013234168903
44,0,44,57,39.946489999999997,-75.237269999999995,1,0,200.000000000000000,43,44,,,,,,,,,,,,,,,0.013063972860928,0.000013234402349
45,0,45,58,39.941090000000003,-75.182879999999997,0,1,200.000000000000000,44,45,,,,,,,,,,,,,,,0.013063364463782,0.000013233373777
46,1,46,60,39.942599999999999,-75.157049999999998,0,0,200.000000000000000,45,46,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.013063534512295,0.000013233661142
47,1,47,62,39.923279999999998,-75.181719999999999,0,0,200.000000000000000,46,47,126515001,7664,2410,GIRARD ACADEMIC MUSIC PROGRAM,Girard Academic Music Program,2136 W RITNER ST,19145,215-400-8230, ,MIDDLEHIGH,05-12,620,1,District,0.013061359442694,0.000013229984310
48,1,48,64,39.957749999999997,-75.219260000000006,0,0,200.000000000000000,47,48,126515001,3860,1020,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,4901 CHESTNUT ST,19139,215-400-7900, ,HIGH,9-12,448,1,District,0.013065241957554,0.000013236547617
49,1,49,65,39.967089999999999,-75.162130000000005,1,0,200.000000000000000,48,49,126510004,7685,3335,PEOPLE FOR PEOPLE,People for People Charter School,800 N BROAD ST,19130,215-763-7060, ,Elem/Mid/High,K-12, ,2,Charter,0.013066294696613,0.000013238327014
50,1,50,66,39.931410000000000,-75.156289999999998,0,0,200.000000000000000,49,50,126515001,3647,2580,"KIRKBRIDE, ELIZA B. SCHOOL",Eliza B. Kirkbride School,1501 S 7TH ST,19147,215-400-7980, ,ELEMENTARYMIDDLE,K-8,553,1,District,0.013062274955246,0.000013231532332
51,0,51,67,39.990989999999996,-75.101600000000005,1,0,200.000000000000000,50,51,,,,,,,,,,,,,,,0.013068991233799,0.000013242884361
52,1,52,69,39.958080000000002,-75.165679999999995,1,0,200.000000000000000,51,52,0, , ,Philadelphia Performing Arts Charter School,Philadelphia Performing Arts Charter School,1600 Vine St,19102,(267) 428-2224, ,Middle/High,5-12, ,2,Charter,0.013065278709782,0.000013236609661
53,0,53,73,39.943610000000000,-75.156829999999999,0,0,200.000000000000000,52,53,,,,,,,,,,,,,,,0.013063648253418,0.000013233853642
54,0,54,74,40.028829999999999,-75.106139999999996,0,0,200.000000000000000,53,54,,,,,,,,,,,,,,,0.013073268011404,0.000013250111994
55,0,55,75,39.890380000000000,-75.245000000000005,0,1,200.000000000000000,54,55,,,,,,,,,,,,,,,0.013057662102711,0.000013223734355
56,0,56,77,39.961069999999999,-75.234909999999999,1,0,200.000000000000000,55,56,,,,,,,,,,,,,,,0.013065616124194,0.000013237179977
57,0,57,78,39.902230000000003,-75.247219999999999,0,0,200.000000000000000,56,57,,,,,,,,,,,,,,,0.013058993409709,0.000013225984846
58,0,58,79,39.935679999999998,-75.167230000000004,0,0,200.000000000000000,57,58,,,,,,,,,,,,,,,0.013062755267062,0.000013232344083
59,0,59,80,39.959009999999999,-75.172010000000000,0,0,200.000000000000000,58,59,,,,,,,,,,,,,,,0.013065383821907,0.000013236787156
60,0,60,82,39.940890000000003,-75.181240000000003,0,1,200.000000000000000,59,60,,,,,,,,,,,,,,,0.013063341957725,0.000013233335888
61,2,61,84,39.924370000000003,-75.169680000000000,1,0,200.000000000000000,60,61,126515001,3859,2000,SOUTH PHILADELPHIA H.S.,South Philadelphia High School,2101 S BROAD ST,19148,215-400-8400, ,HIGH,09-12,617,1,District,0.013061482598963,0.000013230192964
62,0,62,85,39.943640000000002,-75.180650000000000,0,0,200.000000000000000,61,62,,,,,,,,,,,,,,,0.013063651558376,0.000013233858910
63,0,63,86,39.943420000000003,-75.155270000000002,0,0,200.000000000000000,62,63,,,,,,,,,,,,,,,0.013063626995887,0.000013233817780
64,2,64,87,39.939920000000001,-75.149569999999997,0,0,200.000000000000000,63,64,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,725 S 5TH ST,19147,215-400-7990, ,ELEMENTARYMIDDLE,K-8,573,1,District,0.013063232899509,0.000013233151594
65,0,65,89,39.937860000000001,-75.166749999999993,1,1,200.000000000000000,64,65,,,,,,,,,,,,,,,0.013063000775336,0.000013232759297
66,2,66,90,39.949230000000000,-75.150750000000002,1,0,200.000000000000000,65,66,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,Constitution High School,18 S 7TH ST,19106,215-400-7850, ,HIGH,9-12,385,1,District,0.013064281375305,0.000013234923722
67,0,67,92,39.909260000000003,-75.173140000000004,1,0,200.000000000000000,66,67,,,,,,,,,,,,,,,0.013059783124333,0.000013227319913
68,0,68,93,39.975279999999998,-75.206659999999999,0,0,200.000000000000000,67,68,,,,,,,,,,,,,,,0.013067218451856,0.000013239888340
69,1,69,95,39.956969999999998,-75.169210000000007,1,0,200.000000000000000,68,69,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.013065153734547,0.000013236398317
70,0,70,96,39.952579999999998,-75.148480000000006,1,0,200.000000000000000,69,70,,,,,,,,,,,,,,,0.013064658949945,0.000013235561921
71,0,71,102,39.947949999999999,-75.223320000000001,0,0,200.000000000000000,70,71,,,,,,,,,,,,,,,0.013064137016853,0.000013234679774
72,0,72,103,39.963790000000003,-75.219930000000005,0,0,200.000000000000000,71,72,,,,,,,,,,,,,,,0.013065922492496,0.000013237697784
73,0,73,105,39.989970000000000,-75.219350000000006,0,0,200.000000000000000,72,73,,,,,,,,,,,,,,,0.013068876004649,0.000013242689520
74,0,74,106,39.993929999999999,-75.141829999999999,0,0,200.000000000000000,73,74,,,,,,,,,,,,,,,0.013069323455220,0.000013243445915
75,3,75,108,39.951509999999999,-75.175590000000000,1,0,200.000000000000000,74,75,126515001,5186,2470,"GREENFIELD, ALBERT M. SCHOOL",Albert M. Greenfield School,2200 CHESTNUT ST,19103,215-400-7810, ,ELEMENTARYMIDDLE,K-08,665,1,District,0.013064538381977,0.000013235358349
76,0,76,111,39.929259999999999,-75.168620000000004,0,0,200.000000000000000,75,76,,,,,,,,,,,,,,,0.013062033005397,0.000013231123445
77,0,77,112,39.913010000000000,-75.172300000000007,0,0,200.000000000000000,76,77,,,,,,,,,,,,,,,0.013060204888387,0.000013228032843
78,0,78,113,39.950530000000001,-75.173829999999995,1,0,200.000000000000000,77,78,,,,,,,,,,,,,,,0.013064428308418,0.000013235172207
79,0,79,114,39.899130000000000,-75.174830000000000,0,1,200.000000000000000,78,79,,,,,,,,,,,,,,,0.013058644809015,0.000013225395473
80,0,80,115,39.937410000000000,-75.163060000000002,1,1,200.000000000000000,79,80,,,,,,,,,,,,,,,0.013062950646866,0.000013232674638
81,0,81,116,39.944510000000001,-75.156639999999996,0,0,200.000000000000000,80,81,,,,,,,,,,,,,,,0.013063749791657,0.000013234025339
82,1,82,117,39.928500000000000,-75.182209999999998,0,0,200.000000000000000,81,82,126515001,3629,2370,"MCDANIEL, DELAPLAINE SCHOOL",Delaplaine McDaniel School,1801 S 22ND ST,19145,215-400-8220, ,ELEMENTARYMIDDLE,K-8,377,1,District,0.013061947145654,0.000013230978050
83,0,83,118,39.962130000000002,-75.240729999999999,0,0,200.000000000000000,82,83,,,,,,,,,,,,,,,0.013065735062647,0.000013237380831
84,1,84,120,39.977690000000003,-75.161439999999999,0,0,200.000000000000000,83,84,0, ,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th St,19121,(215) 232-4892,O,Elementary School,4-8, ,2,Charter,0.013067490273012,0.000013240347504
85,0,85,121,39.889679999999998,-75.233710000000002,0,0,200.000000000000000,84,85,,,,,,,,,,,,,,,0.013057583504748,0.000013223601479
86,0,86,122,39.964959999999998,-75.224599999999995,0,0,200.000000000000000,85,86,,,,,,,,,,,,,,,0.013066054026685,0.000013237919834
87,0,87,124,39.953170000000000,-75.170010000000005,1,0,200.000000000000000,86,87,,,,,,,,,,,,,,,0.013064725676770,0.000013235674710
88,1,88,125,39.952759999999998,-75.158079999999998,1,0,200.000000000000000,87,88,0, , ,Freire Charter School,Freire Charter School,1026 Market St,19107,(267) 670-7499, ,Middle School,5-8, ,2,Charter,0.013064679205855,0.000013235596356
89,1,89,126,39.971890000000002,-75.162700000000001,0,0,200.000000000000000,88,89,226515632, , ,Philadelphia Academic School,Phila Academic Sch,1421 W GIRARD AVE,19130,(215) 477-1040,O,High School,12, ,3,Private,0.013066835763344,0.000013239241355
90,0,90,128,39.940860000000001,-75.212599999999995,0,0,200.000000000000000,89,90,,,,,,,,,,,,,,,0.013063338858019,0.000013233330880
91,2,91,129,39.952640000000002,-75.178150000000002,1,0,200.000000000000000,90,91,126515001,5186,2470,"GREENFIELD, ALBERT M. SCHOOL",Albert M. Greenfield School,2200 CHESTNUT ST,19103,215-400-7810, ,ELEMENTARYMIDDLE,K-08,665,1,District,0.013064665531987,0.000013235573153
92,0,92,130,39.948779999999999,-75.174199999999999,0,0,200.000000000000000,91,92,,,,,,,,,,,,,,,0.013064230592565,0.000013234837826
93,1,93,133,39.933439999999997,-75.152630000000002,1,0,200.000000000000000,92,93,126515001,3659,2720,VARE-WASHINGTON ELEMENTARY,Vare-Washington School,1198 S 5TH ST,19147,215-400-8120, ,ELEMENTARYMIDDLE,K-8,369,1,District,0.013062502928142,0.000013231917468
94,0,94,134,39.913080000000001,-75.182090000000002,1,1,200.000000000000000,93,94,,,,,,,,,,,,,,,0.013060212892731,0.000013228046875
95,0,95,136,39.947310000000002,-75.194909999999993,1,0,200.000000000000000,94,95,,,,,,,,,,,,,,,0.013064064935580,0.000013234557806
96,0,96,138,39.960220000000000,-75.173680000000004,0,0,200.000000000000000,95,96,,,,,,,,,,,,,,,0.013065519975667,0.000013237017600
97,0,97,139,39.944130000000001,-75.142080000000007,1,0,200.000000000000000,96,97,,,,,,,,,,,,,,,0.013063706977033,0.000013233952786
98,0,98,142,39.947110000000002,-75.146349999999998,1,0,200.000000000000000,97,98,,,,,,,,,,,,,,,0.013064042345236,0.000013234519674
99,0,99,143,39.956449999999997,-75.164469999999994,1,0,200.000000000000000,98,99,,,,,,,,,,,,,,,0.013065095136284,0.000013236299535
100,0,100,144,39.931620000000002,-75.157849999999996,0,0,200.000000000000000,99,100,,,,,,,,,,,,,,,0.013062297976692,0.000013231571047
101,0,101,145,39.928040000000003,-75.168890000000005,0,0,200.000000000000000,100,101,,,,,,,,,,,,,,,0.013061895975037,0.000013230892143
102,0,102,147,39.950400000000002,-75.160240000000002,1,0,200.000000000000000,101,102,,,,,,,,,,,,,,,0.013064413177049,0.000013235146440
103,1,103,148,39.933450000000001,-75.162279999999996,1,0,200.000000000000000,102,103,126515001,3642,2510,"JACKSON, ANDREW SCHOOL",Andrew Jackson School,1213 S 12TH ST,19147,215-400-7970, ,ELEMENTARYMIDDLE,K-8,588,1,District,0.013062504692116,0.000013231920603
104,0,104,150,39.891939999999998,-75.241870000000006,0,0,200.000000000000000,103,104,,,,,,,,,,,,,,,0.013057836975819,0.000013224029679
105,0,105,151,39.934139999999999,-75.167559999999995,0,0,200.000000000000000,104,105,,,,,,,,,,,,,,,0.013062582027638,0.000013232051216
106,0,106,152,39.949430000000000,-75.158810000000003,1,0,200.000000000000000,105,106,,,,,,,,,,,,,,,0.013064304127919,0.000013234962442
107,0,107,153,39.959719999999997,-75.235190000000003,1,0,200.000000000000000,106,107,,,,,,,,,,,,,,,0.013065463439545,0.000013236921678
108,1,108,154,39.950550000000000,-75.148920000000004,1,0,200.000000000000000,107,108,126510002,7678,3361,MASTERY CHARTER-LENFEST CAMPUS,Mastery Charter School at Lenfest,35 S 4TH ST,19106,215-922-1902, ,Middle/High,7-12, ,2,Charter,0.013064430370455,0.000013235175696
109,1,109,155,39.934559999999998,-75.170820000000006,0,0,200.000000000000000,108,109,126515001,3622,2260,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,1599 WHARTON ST,19146,215-400-7950, ,ELEMENTARYMIDDLE,K-8,530,1,District,0.013062629426271,0.000013232131497
110,1,110,158,39.927610000000001,-75.187659999999994,0,1,200.000000000000000,109,110,126512960,7540,3313,PREPARATORY CHARTER SCHOOL,"Preparatory Charter School of Mathematics, Science, Technology and Careers",1928 POINT BREEZE AVE,19145,215-334-6144, ,High School,9-12, ,2,Charter,0.013061847484207,0.000013230809835
111,0,111,160,39.972790000000003,-75.119669999999999,0,1,200.000000000000000,110,111,,,,,,,,,,,,,,,0.013066937358514,0.000013239413184
112,1,112,162,39.978900000000003,-75.159559999999999,1,0,200.000000000000000,111,112,0, ,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th St,19121,(215) 232-4892,O,Elementary School,4-8, ,2,Charter,0.013067626162618,0.000013240577012
113,0,113,163,39.958939999999998,-75.241399999999999,0,0,200.000000000000000,112,113,,,,,,,,,,,,,,,0.013065375459463,0.000013236773056
114,2,114,165,39.940809999999999,-75.166120000000006,0,0,200.000000000000000,113,114,126515001,6996,2020,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts School,901 S BROAD ST,19147,215-400-8140, ,HIGH,09-12,747,1,District,0.013063332908035,0.000013233320405
115,0,115,166,39.967120000000001,-75.163740000000004,0,0,200.000000000000000,114,115,,,,,,,,,,,,,,,0.013066297407060,0.000013238331011
116,1,116,167,39.963200000000001,-75.146690000000007,0,0,200.000000000000000,115,116,126515001,3645,5480,"KEARNY, GEN. PHILIP SCHOOL",General Philip Kearny School,601 FAIRMOUNT AVE,19123,215-400-7590, ,ELEMENTARYMIDDLE,K-8,294,1,District,0.013065855576513,0.000013237584487
117,2,117,169,39.962850000000003,-75.164670000000001,1,0,200.000000000000000,116,117,126515001,3808,2140,"MASTERMAN,JULIA R. HIGH SCHOOL",Julia R. Masterman School,1699 SPRING GARDEN ST,19130,215-400-7580, ,MIDDLEHIGH,05-12,1213,1,District,0.013065816484474,0.000013237518689
118,0,118,170,39.961649999999999,-75.154529999999994,0,0,200.000000000000000,117,118,,,,,,,,,,,,,,,0.013065681063367,0.000013237289593
119,0,119,171,39.947789999999998,-75.227649999999997,0,1,200.000000000000000,118,119,,,,,,,,,,,,,,,0.013064119386146,0.000013234650105
120,1,120,173,39.953569999999999,-75.173199999999994,1,0,200.000000000000000,119,120,126513270,7586,3318,FREIRE CHARTER SCHOOL,Freire Charter School,2027 CHESTNUT ST,19103,215-557-8555, ,Middle/High,5-12, ,2,Charter,0.013064770658134,0.000013235750990
121,1,121,174,39.943179999999998,-75.168940000000006,0,0,200.000000000000000,120,121,126513510,7683,3341,INDEPENDENCE CHARTER SCHOOL,Independence Charter School,1600 LOMBARD ST,19146,215-238-8000, ,Elem/Middle,K-8, ,2,Charter,0.013063599958621,0.000013233772044
122,1,122,175,39.954830000000001,-75.166290000000004,1,0,200.000000000000000,121,122,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.013064912532590,0.000013235990565
123,0,123,176,39.974769999999999,-75.198329999999999,0,1,200.000000000000000,122,123,,,,,,,,,,,,,,,0.013067160640505,0.000013239790459
124,1,124,177,39.969580000000001,-75.173860000000005,0,0,200.000000000000000,123,124,126515001,3618,2210,BACHE-MARTIN SCHOOL,Bache-Martin School,2201 BROWN ST,19130,215-400-7550, ,ELEMENTARYMIDDLE,K-8,463,1,District,0.013066575223149,0.000013238800926
125,1,125,178,39.995170000000002,-75.112210000000005,0,0,200.000000000000000,124,125,0, ,3240,LIGUORI ACADEMY-FORTIS,Liguori Academy-Fortis,1952 E ALLEGHENY AVE,19134,267-571-1952, ,High School,9-12, ,1,Contracted,0.013069463679438,0.000013243682964
126,1,126,179,39.957709999999999,-75.162440000000004,1,0,200.000000000000000,125,126,226515602, , ,Roman Catholic High School,Roman Catholic HS,303 N BROAD ST,19107,215-627-1270,O,High School,9-12, ,3,Archdiocese,0.013065237374781,0.000013236539924
127,0,127,180,39.988520000000001,-75.106340000000003,0,0,200.000000000000000,126,127,,,,,,,,,,,,,,,0.013068712353720,0.000013242413039
128,1,128,181,39.997509999999998,-75.121260000000007,0,1,200.000000000000000,127,128,126515001,3688,5260,"ELKIN, LEWIS SCHOOL",Lewis Elkin School,3199 D ST,19134,215-400-7140, ,ELEMENTARY,K-4,778,1,District,0.013069727599907,0.000013244128910
129,0,129,182,39.929810000000003,-75.163280000000000,0,0,200.000000000000000,128,129,,,,,,,,,,,,,,,0.013062094787266,0.000013231227690
130,0,130,184,39.955599999999997,-75.142520000000005,0,0,200.000000000000000,129,130,,,,,,,,,,,,,,,0.013064999156515,0.000013236136932
131,1,131,185,39.916950000000000,-75.172330000000002,0,0,200.000000000000000,130,131,126513400,7647,3336,PHILA PERFORMING ARTS-BROAD ST,Philadelphia Performing Arts: A String Theory Charter School,2600 S BROAD ST,19145,215-551-4000, ,Elem/Mid/High,K-12, ,2,Charter,0.013060647800764,0.000013228781596
132,0,132,186,39.939109999999999,-75.194919999999996,0,1,200.000000000000000,131,132,,,,,,,,,,,,,,,0.013063141563081,0.000013232997049
133,1,133,187,39.942210000000003,-75.169150000000002,0,0,200.000000000000000,132,133,126513210,7580,3326,UNIVERSAL INSTITUTE,Universal Institute Charter School,801 S 15TH ST,19146,215-732-2876, ,Elem/Middle,K-8, ,2,Charter,0.013063490904647,0.000013233587618
134,0,134,188,39.916089999999997,-75.225870000000000,0,1,200.000000000000000,133,134,,,,,,,,,,,,,,,0.013060551199384,0.000013228618490
135,1,135,189,39.941620000000000,-75.149190000000004,0,0,200.000000000000000,134,135,226519162, , ,St Peters School,St Peters School,311-21 LOMBARD ST,19147,(215) 925-3963,O,Elem/Middle,pre K-8, ,3,Private,0.013063424153107,0.000013233474795
136,1,136,191,39.933239999999998,-75.189679999999996,0,0,200.000000000000000,135,136,226510050, , ,Miracle Temple Christian Academy,Miracle Temple Christian Acad,2600 TASKER ST,19145,(215) 755-3680,O,Ungraded,Ungraded, ,3,Private,0.013062480940586,0.000013231880618
137,0,137,192,39.955599999999997,-75.189490000000006,1,0,200.000000000000000,136,137,,,,,,,,,,,,,,,0.013064999175955,0.000013236136998
138,0,138,196,39.925849999999997,-75.181169999999995,0,0,200.000000000000000,137,138,,,,,,,,,,,,,,,0.013061649190076,0.000013230474485
139,0,139,197,40.024200000000000,-75.132999999999996,0,0,200.000000000000000,138,139,,,,,,,,,,,,,,,0.013072744553977,0.000013249227531
140,1,140,199,39.951270000000001,-75.173670000000001,1,0,200.000000000000000,139,140,126513270,7586,3318,FREIRE CHARTER SCHOOL,Freire Charter School,2027 CHESTNUT ST,19103,215-557-8555, ,Middle/High,5-12, ,2,Charter,0.013064511620389,0.000013235313156
141,0,141,200,40.023420000000002,-75.133359999999996,0,0,200.000000000000000,140,141,,,,,,,,,,,,,,,0.013072656115731,0.000013249077878
142,1,142,202,39.940420000000003,-75.187470000000005,0,1,200.000000000000000,141,142,226511235, , ,Crooked Places Made Straight,Crooked Places Made Straight,2617 Washington Ave,19146,(215) 339-5007,O,Elem/Mid/High,K-12, ,3,Private,0.013063288958797,0.000013233246217
143,0,143,205,39.942990000000002,-75.167379999999994,1,0,200.000000000000000,142,143,,,,,,,,,,,,,,,0.013063578370996,0.000013233735446
