OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,Comm,BUFF_DIST,ORIG_FID,OBJECTID_1,OBJECTID_12,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,POINT_X,POINT_Y,SCHID,NAME,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,Shape_Length,Shape_Area
11,0,11,28,42.346269999999997,-71.042169999999999,0,400.000000000000000,17,,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.026707245579786,0.000054898770102
12,1,12,29,42.248550000000002,-71.126959999999997,0,400.000000000000000,18,92,12,,,1415 Hyde Park Avenue,,,,,,,,,,,,5400,Boston Renaissance Charter Public School,Hyde Park,BOSTON,MA,02136,Roger Harris,617-357-0900,617-338-2647,"K,1,2,3,4,5,6",CHA,0.026682248337685,0.000054814895174
13,0,13,33,42.346359999999997,-71.090950000000007,0,400.000000000000000,21,,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.026707268502266,0.000054898846203
14,1,14,36,42.331229999999998,-71.076960000000000,0,400.000000000000000,23,29,14,42,Orchard Gardens K-8,906 Albany Street,Roxbury,02119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8, , ,770299.999992999946699,2945660.000000000000000,,,,,,,,,,,,0.026703389559368,0.000054885833337
15,0,15,38,42.329450000000001,-71.035200000000003,0,400.000000000000000,24,,15,,,,,,,,,,,,,,,,,,,,,,,,,,0.026702933328972,0.000054884302547
16,3,16,39,42.352260000000001,-71.075990000000004,0,400.000000000000000,25,17,16,24,Snowden Hs Bldg,150 Newbury Street,Boston,02116,1200,1200,Snowden International,Snowden HS,HS, , ,770246.740985000040382,2953058.869739999994636,00350724,Commonwealth School,Boston,BOSTON,MA,02116,William Wharton,617-266-7525,--,"9,10,11,12",PRI,0.026708782019245,0.000054903924048
17,0,17,42,42.346310000000003,-71.048349999999999,0,400.000000000000000,27,,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.026707255658901,0.000054898803744
18,0,18,45,42.321629999999999,-71.092020000000005,0,400.000000000000000,28,,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.026700929824425,0.000054877581006
19,0,19,47,42.296810000000001,-71.132919999999999,0,400.000000000000000,29,,19,,,,,,,,,,,,,,,,,,,,,,,,,,0.026694577059160,0.000054856265896
20,0,20,48,42.309049999999999,-71.120800000000003,0,400.000000000000000,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,0.026697708753499,0.000054866774066
21,1,21,51,42.350220000000000,-71.091809999999995,0,400.000000000000000,32,88,21,,,"650 Beacon St , 3rd Floor",,,,,,,,,,,,05230001,EDCO Collaborative - EDCO YOUTH ALT,Boston,BOSTON,MA,02215, ,617-262-9562,617-262-0098, ,COP,0.026708258401645,0.000054902167505
22,1,22,57,42.340310000000002,-71.109930000000006,0,400.000000000000000,35,146,22,,,103 Pilgrim Rd,,,,,,,,,,,,00350910,The Winsor School,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI,0.026705716579574,0.000054893640180
23,1,23,58,42.313609999999997,-71.046790000000001,0,400.000000000000000,36,149,23,,,150 Morrissey Blvd,,,,,,,,,,,,8023,Boston College High,Dorchester,BOSTON,MA,02125,Stephen Hughes,617-474-5010,617-474-5015,"9,10,11,12",PRI,0.026698876226346,0.000054870691152
24,1,24,64,42.328029999999998,-71.056920000000005,0,400.000000000000000,39,116,24,,,655 Dorchester Avenue,,,,,,,,,,,,00350882,St Mary Of Czestochowa,South Boston,BOSTON,MA,02127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.026702569303976,0.000054883081043
25,1,25,66,42.336880000000001,-71.078720000000004,0,400.000000000000000,41,20,25,27,Hurley Bldg,70 Worcester Street,Boston,02118,4260,4260,Hurley K-8,Hurley K-8,K-8, , ,770330.236568999942392,2948751.748840000014752,,,,,,,,,,,,0.026704837455585,0.000054890690568
26,0,26,69,42.289879999999997,-71.118170000000006,0,400.000000000000000,42,,26,,,,,,,,,,,,,,,,,,,,,,,,,,0.026692804806575,0.000054850319349
27,3,27,74,42.318579999999997,-71.056730000000002,0,400.000000000000000,45,28,27,39,Russell Bldg,750 Columbia Road,Dorchester,02125,4530,4530,Russell Elementary,Russell,ES, , ,775282.999997999984771,2942080.000000000000000,8089,Pope John Paul II Academy (Columbia Road),Dorchester,BOSTON,MA,02125,Claire Sheridan,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.026700148666824,0.000054874959919
28,2,28,75,42.325960000000002,-71.083389999999994,0,400.000000000000000,46,32,28,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,02119,1410,1410,Boston Day and Evening Academy,BDEA,Special, , ,769277.865975999971852,2944471.839110000059009,,,,,,,,,,,,0.026702039054209,0.000054881302263
29,0,29,76,42.340089999999996,-71.166139999999999,0,400.000000000000000,47,,29,,,,,,,,,,,,,,,,,,,,,,,,,,0.026705660512726,0.000054893452267
30,0,30,77,42.336060000000003,-71.091329999999999,0,400.000000000000000,48,,30,,,,,,,,,,,,,,,,,,,,,,,,,,0.026704627399662,0.000054889986328
31,0,31,78,42.334240000000001,-71.072460000000007,0,400.000000000000000,49,,31,,,,,,,,,,,,,,,,,,,,,,,,,,0.026704160590935,0.000054888419801
32,1,32,80,42.328029999999998,-71.067899999999995,0,400.000000000000000,51,22,32,31,Mason Bldg,150 Norfolk Avenue,Roxbury,02119,4121,4121,Mason Elementary,Mason,ES, , ,772085.999994999961928,2944190.000000000000000,,,,,,,,,,,,0.026702569315907,0.000054883081095
33,1,33,81,42.344009999999997,-71.103470000000002,0,400.000000000000000,52,85,33,119,Mckinley Peterborough Bldg,97 Peterborough Street,Boston,02215,1293,1293,McKinley Prep High Sch,McKinley Prep HS,Special, , ,764504.051411999971606,2950429.159659999888390,,,,,,,,,,,,0.026706665877716,0.000054896824717
34,2,34,82,42.340789999999998,-71.070710000000005,0,400.000000000000000,53,21,34,28,Blackstone Bldg,380 Shawmut Avenue,Boston,02118,4640,4640,Blackstone Elementary,Blackstone,ES, , ,771753.999993999954313,2949480.000010000076145,8027,Cathedral High,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI,0.026705840201485,0.000054894054587
35,3,35,86,42.346899999999998,-71.065870000000004,0,400.000000000000000,56,15,35,21,Abraham Lincoln Building,152 Arlington Street,Boston,02116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12, , ,772661.999994999961928,2952280.000010000076145,,,,,,,,,,,,0.026707407028767,0.000054899311803
36,1,36,87,42.292850000000001,-71.096239999999995,0,400.000000000000000,57,163,36,,,150 American Legion Highway,,,,,,,,,,,,5451,Edward Brooke Charter School - Mattapan,Dorchester,BOSTON,MA,02124, , , , ,CHA,0.026693564150773,0.000054852866874
37,1,37,90,42.346339999999998,-71.063190000000006,0,400.000000000000000,60,16,37,22,Boston HS Bldg,885 Washington Street,Boston,02111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12, , ,773779.124763999949209,2952129.104590000119060,,,,,,,,,,,,0.026707263322935,0.000054898829083
38,1,38,91,42.293100000000003,-71.149379999999994,0,400.000000000000000,61,92,38,128,Russett Road Bldg,140 Russett Road,West Roxbury,02132,4033,4033,Kilmer Upper (4-8),Kilmer Upper (4-8),K-8, , ,750222.431045999983326,2931861.757110000122339,,,,,,,,,,,,0.026693628143226,0.000054853082004
39,1,39,96,42.296070000000000,-71.061369999999997,0,400.000000000000000,63,49,39,69,Ohearn Bldg,1669 Dorchester Avenue,Dorchester,02122,4391,4391,Henderson Lower (K0-1),Henderson Lower (K0-1),K-12, , ,774609.999996999977157,2932449.999989999923855,,,,,,,,,,,,0.026694387391352,0.000054855629159
40,0,40,99,42.307310000000001,-71.119510000000005,0,400.000000000000000,65,,40,,,,,,,,,,,,,,,,,,,,,,,,,,0.026697263229566,0.000054865278290
41,0,41,103,42.351059999999997,-71.168620000000004,0,400.000000000000000,67,,41,,,,,,,,,,,,,,,,,,,,,,,,,,0.026708474315454,0.000054902892223
42,2,42,106,42.318820000000002,-71.095309999999998,0,400.000000000000000,69,42,42,56,Ellis Bldg,302 Walnut Avenue,Roxbury,02119,4240,4240,Ellis Elementary,Ellis,ES, , ,766272.999989000032656,2940560.000000000000000,,,,,,,,,,,,0.026700210091701,0.000054875165857
43,0,43,110,42.360660000000003,-71.129230000000007,0,400.000000000000000,70,,43,,,,,,,,,,,,,,,,,,,,,,,,,,0.026710937719442,0.000054911155794
44,0,44,113,42.337699999999998,-71.095590000000001,0,400.000000000000000,71,,44,,,,,,,,,,,,,,,,,,,,,,,,,,0.026705047785258,0.000054891396700
45,0,45,116,42.379989999999999,-71.025400000000005,0,400.000000000000000,73,,45,,,,,,,,,,,,,,,,,,,,,,,,,,0.026715901823709,0.000054927807560
46,1,46,117,42.341410000000003,-71.107519999999994,0,400.000000000000000,74,146,46,,,103 Pilgrim Rd,,,,,,,,,,,,00350910,The Winsor School,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI,0.026705999201902,0.000054894588712
47,2,47,118,42.333199999999998,-71.109459999999999,0,400.000000000000000,75,124,47,114,Farragut Building,10 Fenwood Road,Jamaica Plain,02115,1441,1441,Kennedy Health Careers Academy (9-10),Kennedy HCA (9-10),HS, , ,762545.712953999987803,2946955.351199999917299,00350768,Manville School,Boston,BOSTON,MA,02120,Hanna Savransky,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11",SPE,0.026703894134567,0.000054887525999
48,1,48,119,42.377710000000000,-71.026110000000003,0,400.000000000000000,76,2,48,3,"Kennedy, P Bldg",343 Saratoga Street,East Boston,02128,4541,4541,Kennedy Patrick Elem,PJ Kennedy,ES, , ,783027.745829000021331,2963317.533939999993891,,,,,,,,,,,,0.026715315980527,0.000054925842741
49,0,49,121,42.340190000000000,-71.063069999999996,0,400.000000000000000,77,,49,,,,,,,,,,,,,,,,,,,,,,,,,,0.026705686187907,0.000054893538206
50,2,50,125,42.351149999999997,-71.085099999999997,0,400.000000000000000,81,112,50,,,247 Marlborough Street,,,,,,,,,,,,00350794,The Newman School,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI,0.026708497221493,0.000054902968911
51,2,51,126,42.368879999999997,-71.039749999999998,0,400.000000000000000,82,128,51,0,Alighieri Bldg,37 Gove St.,East Boston,02128,4321,4321,Alighieri Montessori,Alighieri,ES, , ,781025.956811000010930,2960764.017810000106692,8034,E Boston Central Catholic,East Boston,BOSTON,MA,02128,Maryann Manfredonia,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.026713048026206,0.000054918234862
52,0,52,130,42.338639999999998,-71.149270000000001,0,400.000000000000000,85,,52,,,,,,,,,,,,,,,,,,,,,,,,,,0.026705288899978,0.000054892205533
53,4,53,131,42.309150000000002,-71.073949999999996,0,400.000000000000000,86,44,53,58,King Bldg,77 Lawrence Avenue,Dorchester,02121,4055,4055,King K-8,King K-8,K-8, , ,770797.393081999965943,2938747.290080000180751,5302,Roxbury Prep - Dorchester,Dorchester,BOSTON,MA,02121,Dana Lehman,617-858-2300,617-275-5760,"6,7,8",CHA,0.026697734135699,0.000054866858710
54,0,54,132,42.332619999999999,-71.072159999999997,0,400.000000000000000,87,,54,,,,,,,,,,,,,,,,,,,,,,,,,,0.026703745686296,0.000054887027988
55,0,55,133,42.357160000000000,-71.065089999999998,0,400.000000000000000,88,,55,,,,,,,,,,,,,,,,,,,,,,,,,,0.026710039713792,0.000054908143768
56,0,56,135,42.350360000000002,-71.048460000000006,0,400.000000000000000,89,,56,,,,,,,,,,,,,,,,,,,,,,,,,,0.026708294699178,0.000054902289367
57,6,57,136,42.331420000000001,-71.094480000000004,0,400.000000000000000,90,34,57,47,Madison Park Bldg #1,75 Malcolm X Blvd,Roxbury,02120,1210,1210,Madison Park High,Madison Park HS,HS, , ,766949.457909999997355,2946184.273699999786913,00350812,Paige Academy,Roxbury,BOSTON,MA,02119,Angela Cook,617-445-6969,--,"PK,K,1",PRI,0.026703437959666,0.000054885995550
58,2,58,141,42.332039999999999,-71.084040000000002,0,400.000000000000000,93,35,58,48,Madison Park Bldg #3 - O'Bryant,55 Malcolm X Blvd,Roxbury,02120,1030,1030,O'Bryant Math & Sci.,O'Bryant School,6/7-12, , ,767354.011765999952331,2946288.259779999963939,5101,City On A Hill Charter Public School - Dudley Square,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA,0.026703596974391,0.000054886529211
59,0,59,142,42.267620000000001,-71.150149999999996,0,400.000000000000000,94,,59,,,,,,,,,,,,,,,,,,,,,,,,,,0.026687115880000,0.000054831229409
60,1,60,143,42.353490000000001,-71.071489999999997,0,400.000000000000000,95,132,60,,,67 Brimmer Street,,,,,,,,,,,,00350805,Park Street School,Boston,BOSTON,MA,02108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI,0.026709097696783,0.000054904983290
61,0,61,145,42.339050000000000,-71.057130000000001,0,400.000000000000000,96,,61,,,,,,,,,,,,,,,,,,,,,,,,,,0.026705393542858,0.000054892556086
62,1,62,155,42.319569999999999,-71.081440000000001,0,400.000000000000000,100,573,62,,,435 Warren Street,,,,,,,,,,,,5541,Bridge Boston Charter School,Roxbury,BOSTON,MA,02119,Jennifer Daly,857-229-1601,617-674-0861," K, 1, 2, 3, 4",CHA,0.026700402298364,0.000054875810808
63,0,63,156,42.282389999999999,-71.114919999999998,0,400.000000000000000,101,,63,,,,,,,,,,,,,,,,,,,,,,,,,,0.026690889517214,0.000054843892026
64,1,64,159,42.303300000000000,-71.103759999999994,0,400.000000000000000,103,160,64,,,215 Forest Hills St.,,,,,,,,,,,,5430,MATCH Charter Public Middle School,Jamaica Plain,BOSTON,MA,02130, ,857-203-9668,857-203-9666,"5,6,7,8",CHA,0.026696237334755,0.000054861836488
65,1,65,162,42.333770000000001,-71.082549999999998,0,400.000000000000000,104,168,65,,,2179 Washington Street,,,,,,,,,,,,5101,City On A Hill Charter Public School - Dudley Square,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA,0.026704040409844,0.000054888016791
66,0,66,164,42.347520000000003,-71.040710000000004,0,400.000000000000000,105,,66,,,,,,,,,,,,,,,,,,,,,,,,,,0.026707565845103,0.000054899844279
67,0,67,166,42.364789999999999,-71.135459999999995,0,400.000000000000000,107,,67,,,,,,,,,,,,,,,,,,,,,,,,,,0.026711997798023,0.000054914711821
68,2,68,167,42.278149999999997,-71.121530000000007,0,400.000000000000000,108,95,68,,,190 Cummins Highway,,,,,,,,,,,,5450,Edward Brooke Charter School - Roslindale,Roslindale,BOSTON,MA,02131,Jon Clark,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8",CHA,0.026689805758433,0.000054840255446
69,1,69,170,42.339219999999997,-71.050380000000004,0,400.000000000000000,111,115,69,156,Condon Bldg,200 D Street,South Boston,02127,4630,4630,Condon K-8,Condon K-8,K-8, , ,777250.000000000000000,2948520.000010000076145,,,,,,,,,,,,0.026705437788596,0.000054892705102
70,2,70,171,42.335470000000001,-71.045509999999993,0,400.000000000000000,112,25,70,36,South Boston Ed. Bldg,95 G Street,South Boston,02127,1162,1162,Excel High,Excel HS,HS, ,S. Boston EC,779223.039424999966286,2946651.009279999881983, ,Julie's Family Learning Program,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI,0.026704476361603,0.000054889479450
71,0,71,173,42.275250000000000,-71.140649999999994,0,400.000000000000000,113,,71,,,,,,,,,,,,,,,,,,,,,,,,,,0.026689064935480,0.000054837769749
72,2,72,174,42.335479999999997,-71.044269999999997,0,400.000000000000000,114,25,72,36,South Boston Ed. Bldg,95 G Street,South Boston,02127,1162,1162,Excel High,Excel HS,HS, ,S. Boston EC,779223.039424999966286,2946651.009279999881983, ,Julie's Family Learning Program,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI,0.026704478728968,0.000054889487404
73,1,73,175,42.315420000000003,-71.056680000000000,0,400.000000000000000,115,109,73,146,Everett Bldg,71 Pleasant Street,Dorchester,02125,4140,4140,Everett Elementary,Everett,ES, , ,775235.999997999984771,2939640.000000000000000,,,,,,,,,,,,0.026699339434292,0.000054872244785
74,2,74,176,42.350340000000003,-71.084699999999998,0,400.000000000000000,116,112,74,,,247 Marlborough Street,,,,,,,,,,,,00350794,The Newman School,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI,0.026708289556255,0.000054902272306
75,3,75,177,42.328170000000000,-71.097059999999999,0,400.000000000000000,117,83,75,118,Mission Hill Bldg,67 Alleghany Street,Roxbury,02120,1265,1265,Fenway High,Fenway HS,HS, , ,764548.382700999965891,2945746.345000000204891,00350812,Paige Academy,Roxbury,BOSTON,MA,02119,Angela Cook,617-445-6969,--,"PK,K,1",PRI,0.026702605292406,0.000054883201852
76,0,76,184,42.297120000000000,-71.132220000000004,0,400.000000000000000,122,,76,,,,,,,,,,,,,,,,,,,,,,,,,,0.026694656076823,0.000054856531078
77,2,77,186,42.283220000000000,-71.051940000000002,0,400.000000000000000,123,51,77,71,Kenny Bldg,19 Oakton Avenue,Dorchester,02122,4390,4390,Kenny Elementary,Kenny,ES, , ,777066.999998999992386,2929759.999989999923855,8070,St Brendan Elementary,Dorchester,BOSTON,MA,02124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI,0.026691101876931,0.000054844604718
78,0,78,187,42.348779999999998,-71.134230000000002,0,400.000000000000000,124,,78,,,,,,,,,,,,,,,,,,,,,,,,,,0.026707889236470,0.000054900929396
79,2,79,190,42.340930000000000,-71.077299999999994,0,400.000000000000000,125,20,79,27,Hurley Bldg,70 Worcester Street,Boston,02118,4260,4260,Hurley K-8,Hurley K-8,K-8, , ,770330.236568999942392,2948751.748840000014752,,,,,,,,,,,,0.026705875998948,0.000054894175165
80,1,80,192,42.349170000000001,-71.092849999999999,0,400.000000000000000,126,88,80,,,"650 Beacon St , 3rd Floor",,,,,,,,,,,,05230001,EDCO Collaborative - EDCO YOUTH ALT,Boston,BOSTON,MA,02215, ,617-262-9562,617-262-0098, ,COP,0.026707989523180,0.000054901265928
81,1,81,193,42.292999999999999,-71.094660000000005,0,400.000000000000000,127,163,81,,,150 American Legion Highway,,,,,,,,,,,,5451,Edward Brooke Charter School - Mattapan,Dorchester,BOSTON,MA,02124, , , , ,CHA,0.026693602461518,0.000054852995857
82,3,82,198,42.307650000000002,-71.115499999999997,0,400.000000000000000,131,121,82,123,Agassiz Building,20 Child St,Jamaica Plain,02130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8,Shared, ,760615.274077999987639,2937144.856019999831915,00350740,Hollow Reed School,Jamaica Plain,BOSTON,MA,02130,Khabria Brown,617-524-9004,--,"PK,K",PRI,0.026697350092104,0.000054865569963
83,1,83,202,42.295079999999999,-71.093019999999996,0,400.000000000000000,133,163,83,,,150 American Legion Highway,,,,,,,,,,,,5451,Edward Brooke Charter School - Mattapan,Dorchester,BOSTON,MA,02124, , , , ,CHA,0.026694134299406,0.000054854780255
84,2,84,205,42.350499999999997,-71.068659999999994,0,400.000000000000000,135,15,84,21,Abraham Lincoln Building,152 Arlington Street,Boston,02116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12, , ,772661.999994999961928,2952280.000010000076145,,,,,,,,,,,,0.026708330860425,0.000054902410964
85,4,85,209,42.343829999999997,-71.071860000000001,0,400.000000000000000,136,18,85,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,02116,1291,1291,McKinley Elementary,McKinley Elem,Special,Shared, ,771460.937914000009187,2950801.811980000231415,8027,Cathedral High,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI,0.026706619466292,0.000054896668833
86,1,86,210,42.306690000000003,-71.087410000000006,0,400.000000000000000,137,125,86,,,515 Blue Hill Avenue,,,,,,,,,,,,00350778,Mother Caroline Academy,Dorchester,BOSTON,MA,02121,Frances Butler,617-427-1177,617-427-7788,"5,6,7,8",PRI,0.026697104539557,0.000054864745984
87,1,87,213,42.298299999999998,-71.115840000000006,0,400.000000000000000,139,975,87,,,86 Wachusett Street,,,,,,,,,,,,5303,Roxbury Prep - High School,Jamaica Plain,BOSTON,MA,02130,Shradha m Patel,--,--,"9,10,11,12",CHA,0.026694957625018,0.000054857542382
88,1,88,215,42.294499999999999,-71.088139999999996,0,400.000000000000000,140,163,88,,,150 American Legion Highway,,,,,,,,,,,,5451,Edward Brooke Charter School - Mattapan,Dorchester,BOSTON,MA,02124, , , , ,CHA,0.026693985694487,0.000054854281364
89,2,89,219,42.350009999999997,-71.106570000000005,0,400.000000000000000,143,86,89,120,Mckinley St Mary'S St Bldg,50 St. Mary Street,Boston,02215,1292,1292,McKinley Middle,McKinley MS,Special, , ,762468.913617999991402,2952063.254060000181198,00350813,Boston University Academy,Boston,BOSTON,MA,02215,James Berkman,617-353-9000,617-353-8999,"9,10,11,12",PRI,0.026708204858212,0.000054901987814
90,1,90,221,42.337840000000000,-71.056960000000004,0,400.000000000000000,145,115,90,156,Condon Bldg,200 D Street,South Boston,02127,4630,4630,Condon K-8,Condon K-8,K-8, , ,777250.000000000000000,2948520.000010000076145,,,,,,,,,,,,0.026705083686094,0.000054891517135
91,1,91,227,42.290109999999999,-71.048460000000006,0,400.000000000000000,146,105,91,,,239 Neponset Avenue,,,,,,,,,,,,8065,Pope John Paul II Academy (Neponset),Dorchester,BOSTON,MA,02122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.026692863457477,0.000054850515604
92,1,92,228,42.310459999999999,-71.106999999999999,0,400.000000000000000,147,74,92,105,Fuller Bldg,25 Glen Road,Jamaica Plain,02130,1340,1340,Community Academy,Community Acad,Special, , ,763418.969363000011072,2937847.759000000078231,,,,,,,,,,,,0.026698069591885,0.000054867984423
93,0,93,230,42.365470000000002,-71.064639999999997,0,400.000000000000000,148,,93,,,,,,,,,,,,,,,,,,,,,,,,,,0.026712172775849,0.000054915299126
94,0,94,231,42.358020000000003,-71.161879999999996,0,400.000000000000000,149,,94,,,,,,,,,,,,,,,,,,,,,,,,,,0.026710260303598,0.000054908883389
95,3,95,233,42.306649999999998,-71.115250000000003,0,400.000000000000000,150,121,95,123,Agassiz Building,20 Child St,Jamaica Plain,02130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8,Shared, ,760615.274077999987639,2937144.856019999831915,00350740,Hollow Reed School,Jamaica Plain,BOSTON,MA,02130,Khabria Brown,617-524-9004,--,"PK,K",PRI,0.026697094262786,0.000054864711670
96,1,96,234,42.287669999999999,-71.146510000000006,0,400.000000000000000,151,136,96,,,535 W Roxbury Pkwy,,,,,,,,,,,,8037,Holy Name Elementary,West Roxbury,BOSTON,MA,02132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.026692239421923,0.000054848422257
97,1,97,236,42.322580000000002,-71.098460000000003,0,400.000000000000000,153,118,97,,,39 Lamartine Street,,,,,,,,,,,,8588,Nativity Prep School,Jamaica Plain,BOSTON,MA,02130-0947,Dan Roy,857-728-0031,857-728-0037,"5,6,7,8",PRI,0.026701173459208,0.000054878398361
98,1,98,239,42.372410000000002,-71.064949999999996,0,400.000000000000000,156,1374,98,,,20 Winthrop Street,,,,,,,,,,,, ,Good Shepherd School,Charlestown,BOSTON,MA,02129,Nicolette Clifford,617-242-8800,617-242-0016,PK,PRI,0.026713954910811,0.000054921277267
99,3,99,243,42.326110000000000,-71.105230000000006,0,400.000000000000000,159,79,99,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,02130,4231,4231,West Zone ELC,West Zone ELC,ELC,Shared, ,762457.929921000031754,2944171.218520000111312,5300,Roxbury Prep - Mission Hill,Roxbury,BOSTON,MA,02120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA,0.026702077436314,0.000054881431184
100,1,100,247,42.300809999999998,-71.127179999999996,0,400.000000000000000,162,127,100,,,1125 Centre Street,,,,,,,,,,,,00350749,Italian Home For Children,Jamaica Plain,BOSTON,MA,02130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE,0.026695599892220,0.000054859698021
